NUBEQA​®	O
​(	O
darolutamide	Drug
)	O
Pharmacokinetics	O
Summary:	O
●	O
Nubeqa	Drug
(	O
darolutamide	Drug
)	O
is	O
an	O
androgen	O
receptor	O
inhibitor	O
indicated	O
for	O
the	O
treatment	O
of	O
patients	O
with	O
non-metastatic	Disease
castration-resistant	Disease
prostate	Disease
cancer	Disease
.​1	O
●	O
Pharmacokinetics	O
of	O
darolutamide	Drug
were	O
determine	O
as	O
a	O
part	O
of	O
the	O
phase1-2	O
study,	O
which	O
determined	O
dose	O
escalation,	O
dose	O
expansion,	O
and	O
long	O
term	O
follow-up.​1	O
o	O
Pharmacokinetics	O
were	O
determined	O
in	O
patients	O
receiving	O
200	Dosage
mg/day	Dosage
(n=3),	O
400	Dosage
mg/day	Dosage
(n=7),	O
600	Dosage
mg/day	Dosage
(n=3)	O
1000	Dosage
mg/day	Dosage
(n=3),	O
1400	Dosage
mg/day	Dosage
(n=3),	O
1800	Dosage
mg/day	Dosage
(n=3)	O
with	O
food.	O
No	O
intra-patient	O
escalation	O
was	O
permitted.	O
o	O
Pharmacokinetic	O
analysis	O
of	O
darolutamide	Drug
showed	O
rapid	O
absorbed	O
and	O
the	O
median	O
t​max​	O
ranged	O
3.0–5.1	Duration
hours	Duration
for	O
darolutamide	Drug
and	O
1.5–5.0	Duration
h	Duration
for	O
diastereo	O
isomer	O
keto-	O
darolutamide	Drug
on	O
day	O
1.	O
The	O
mean	O
metabolite	O
to	O
parent	O
ratio	O
(area	O
under	O
the	O
curve,	O
AUC)	O
at	O
steady	O
state	O
was	O
1.6–2.3:1.	O
The	O
exposure	O
of	O
darolutamide	Drug
(AUC​t	O
​and	O
C​max​)	O
at	O
steady	O
state	O
increased	O
in	O
a	O
linear,	O
dose-related	O
manner	O
up	O
to	O
1400	Dosage
mg	Dosage
daily	Dosage
dose.	O
o	O
Most	O
common	O
Grade	O
3	O
adverse	O
events	O
occurring	O
in	O
​>​	O
10%	O
of	O
patients	O
were	O
fatigue	Adverse Event
or	O
asthenia	Adverse Event
2	O
(2%),	O
back	Adverse Event
pain	Adverse Event
2	O
(2%)	O
and	O
arthralgia	Adverse Event
2	O
(2%).	O
●	O
An	O
open	O
randomized	O
phase	O
1	O
study	O
evaluated	O
safety	O
and	O
tolerability,	O
bioavailability	O
and	O
effect	O
of	O
food	O
on	O
bioavailability	O
of	O
darolutamide	Drug
in	O
patients	O
with	O
metastatic	Disease
chemotherapy	Disease
naïve	Disease
CRPC	Disease
.​2​	O
The	O
study	O
compared	O
relative	O
bioavailability	O
of	O
600	Strength
mg	Strength
tablets	Form
(	O
tablet	Form
A	O
and	O
tablet	Form
B)	O
and	O
capsule	Form
(reference)	O
formulations	O
in	O
patients	O
with	O
chemotherapy	Disease
naïve	Disease
metastatic	Disease
castrate	Disease
resistant	Disease
prostate	Disease
cancer	Disease
.	O
o	O
Patients	O
were	O
randomized	O
to	O
one	O
of	O
3	O
treatment	O
sequences	O
in	O
each	O
group.​	O
​There	O
were	O
three	O
treatment	O
periods	O
for	O
each	O
patient	O
during	O
the	O
PK	O
Component	O
which	O
included	O
administration	O
of	O
two	O
darolutamide	Drug
300	Strength
mg	Strength
test	O
tablet	Form
(Tab	O
A	O
or	O
Tab	O
B)	O
in	O
both	O
fasted	Condition
and	O
fed	Condition
conditions,	O
or	O
administration	O
of	O
darolutamide	Drug
100	Strength
mg	Strength
capsule	Form
at	O
600	Strength
mg	Strength
dose	O
in	O
fed	Condition
state.	O
There	O
was	O
at	O
least	O
7	Duration
days	Duration
wash-out	O
period	O
between	O
the	O
three	O
study	O
treatment	O
administrations.	O
The	O
total	O
daily	O
dose	O
was	O
600	Dosage
mg/day	Dosage
o	O
Thirty	O
men	O
with	O
were	O
enrolled.	O
Area	O
under	O
the	O
concentration	O
curve	O
(AUC)	O
and	O
maximum	O
concentration	O
(C​max​)	O
values	O
were	O
approximately	O
two	O
times	O
lower	O
after	O
administration	O
at	O
fast.	O
With	O
high	O
fat	O
meal	O
the	O
C​max​	O
occurred	O
about	O
